hotel_name,hotel_location,hotel_price,rating,total_review,link
Hotel Sct. Thomas,"Vesterbro, Copenhagen"," 2,734",Very Good,996 reviews,https://www.booking.com/hotel/dk/sct-thomas.html?label=gen173nr-10CAEoggI46AdIM1gEaD2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApKCv8cGwAIB0gIkOWE1Y2MzNWMtNmI4Mi00YzAwLTlmZmMtMDIwMGIxODNjNmQz2AIB4AIB&sid=6d20968da55ab1301940b53b7fdc2df8&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-17&checkout=2025-10-20&dest_id=-2745636&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=7f188301a37305fc&srepoch=1760553476&all_sr_blocks=2217310_95146443_0_2_0&highlighted_blocks=2217310_95146443_0_2_0&matching_block_id=2217310_95146443_0_2_0&sr_pri_blocks=2217310_95146443_0_2_0__273420&from=searchresults
Wakeup Copenhagen - Borgergade,"Copenhagen Center, Copenhagen"," 2,561",Very Good,"18,591 reviews",https://www.booking.com/hotel/dk/wakeup-copenhagen-borgergade.html?label=gen173nr-10CAEoggI46AdIM1gEaD2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApKCv8cGwAIB0gIkOWE1Y2MzNWMtNmI4Mi00YzAwLTlmZmMtMDIwMGIxODNjNmQz2AIB4AIB&sid=6d20968da55ab1301940b53b7fdc2df8&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-17&checkout=2025-10-20&dest_id=-2745636&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=7f188301a37305fc&srepoch=1760553476&all_sr_blocks=67982904_0_2_0_0&highlighted_blocks=67982904_0_2_0_0&matching_block_id=67982904_0_2_0_0&sr_pri_blocks=67982904_0_2_0_0__256065&from_sustainable_property_sr=1&from=searchresults
Wakeup Copenhagen - Carsten Niebuhrs Gade,"Vesterbro, Copenhagen"," 1,904",Good,"10,932 reviews",https://www.booking.com/hotel/dk/wakeup-copenhagen.html?label=gen173nr-10CAEoggI46AdIM1gEaD2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApKCv8cGwAIB0gIkOWE1Y2MzNWMtNmI4Mi00YzAwLTlmZmMtMDIwMGIxODNjNmQz2AIB4AIB&sid=6d20968da55ab1301940b53b7fdc2df8&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-17&checkout=2025-10-20&dest_id=-2745636&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=7f188301a37305fc&srepoch=1760553476&all_sr_blocks=17480502_0_2_0_0&highlighted_blocks=17480502_0_2_0_0&matching_block_id=17480502_0_2_0_0&sr_pri_blocks=17480502_0_2_0_0__190440&from_sustainable_property_sr=1&from=searchresults
Cabinn City,"Copenhagen Center, Copenhagen"," 2,150",Good,"21,505 reviews",https://www.booking.com/hotel/dk/cab-inn-city.html?label=gen173nr-10CAEoggI46AdIM1gEaD2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApKCv8cGwAIB0gIkOWE1Y2MzNWMtNmI4Mi00YzAwLTlmZmMtMDIwMGIxODNjNmQz2AIB4AIB&sid=6d20968da55ab1301940b53b7fdc2df8&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-17&checkout=2025-10-20&dest_id=-2745636&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=7f188301a37305fc&srepoch=1760553476&all_sr_blocks=2209239_278756126_2_2_0_690277&highlighted_blocks=2209239_278756126_2_2_0_690277&matching_block_id=2209239_278756126_2_2_0_690277&sr_pri_blocks=2209239_278756126_2_2_0_690277_215000&from=searchresults
Wakeup Copenhagen - Bernstorffsgade,"Copenhagen Center, Copenhagen"," 2,229",Good,"16,375 reviews",https://www.booking.com/hotel/dk/wakeup-copenhagen-bernstorffsgade-kobenhavn1.html?label=gen173nr-10CAEoggI46AdIM1gEaD2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApKCv8cGwAIB0gIkOWE1Y2MzNWMtNmI4Mi00YzAwLTlmZmMtMDIwMGIxODNjNmQz2AIB4AIB&sid=6d20968da55ab1301940b53b7fdc2df8&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-17&checkout=2025-10-20&dest_id=-2745636&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=7f188301a37305fc&srepoch=1760553476&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__222879&from=searchresults
Copenhagen Downtown Hostel,"Copenhagen Center, Copenhagen", 875,Good,"8,041 reviews",https://www.booking.com/hotel/dk/copenhagen-downtown-hostel.html?label=gen173nr-10CAEoggI46AdIM1gEaD2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApKCv8cGwAIB0gIkOWE1Y2MzNWMtNmI4Mi00YzAwLTlmZmMtMDIwMGIxODNjNmQz2AIB4AIB&sid=6d20968da55ab1301940b53b7fdc2df8&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-17&checkout=2025-10-20&dest_id=-2745636&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=7f188301a37305fc&srepoch=1760553476&all_sr_blocks=2221634_95146480_2_0_0&highlighted_blocks=2221634_95146480_2_0_0&matching_block_id=2221634_95146480_2_0_0&sr_pri_blocks=2221634_95146480_2_0_0__87516&from=searchresults
"The Huxley Copenhagen, BW Premier Collection","Copenhagen Center, Copenhagen"," 3,690",Very Good,"3,031 reviews",https://www.booking.com/hotel/dk/best-western-city.html?label=gen173nr-10CAEoggI46AdIM1gEaD2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApKCv8cGwAIB0gIkOWE1Y2MzNWMtNmI4Mi00YzAwLTlmZmMtMDIwMGIxODNjNmQz2AIB4AIB&sid=6d20968da55ab1301940b53b7fdc2df8&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-17&checkout=2025-10-20&dest_id=-2745636&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=7f188301a37305fc&srepoch=1760553476&all_sr_blocks=2213318_95146408_2_2_0&highlighted_blocks=2213318_95146408_2_2_0&matching_block_id=2213318_95146408_2_2_0&sr_pri_blocks=2213318_95146408_2_2_0__369000&from=searchresults
Bob W Østerbro Copenhagen,"Østerbro, Copenhagen"," 2,683",Excellent,"2,797 reviews",https://www.booking.com/hotel/dk/bob-w-osterbro-copenhagen.html?label=gen173nr-10CAEoggI46AdIM1gEaD2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApKCv8cGwAIB0gIkOWE1Y2MzNWMtNmI4Mi00YzAwLTlmZmMtMDIwMGIxODNjNmQz2AIB4AIB&sid=6d20968da55ab1301940b53b7fdc2df8&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-17&checkout=2025-10-20&dest_id=-2745636&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=7f188301a37305fc&srepoch=1760553476&all_sr_blocks=1115000804_384461705_0_0_0&highlighted_blocks=1115000804_384461705_0_0_0&matching_block_id=1115000804_384461705_0_0_0&sr_pri_blocks=1115000804_384461705_0_0_0__268337&from=searchresults
Urban House Copenhagen by MEININGER,"Vesterbro, Copenhagen"," 2,474",Very Good,"13,450 reviews",https://www.booking.com/hotel/dk/urban-house-copenhagen.html?label=gen173nr-10CAEoggI46AdIM1gEaD2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApKCv8cGwAIB0gIkOWE1Y2MzNWMtNmI4Mi00YzAwLTlmZmMtMDIwMGIxODNjNmQz2AIB4AIB&sid=6d20968da55ab1301940b53b7fdc2df8&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-17&checkout=2025-10-20&dest_id=-2745636&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=7f188301a37305fc&srepoch=1760553476&all_sr_blocks=30978202_91920547_0_2_0_497463&highlighted_blocks=30978202_91920547_0_2_0_497463&matching_block_id=30978202_91920547_0_2_0_497463&sr_pri_blocks=30978202_91920547_0_2_0_497463_247380&from=searchresults
Go Hotel Saga,"Vesterbro, Copenhagen"," 2,045",Very Good,"6,971 reviews",https://www.booking.com/hotel/dk/saga.html?label=gen173nr-10CAEoggI46AdIM1gEaD2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApKCv8cGwAIB0gIkOWE1Y2MzNWMtNmI4Mi00YzAwLTlmZmMtMDIwMGIxODNjNmQz2AIB4AIB&sid=6d20968da55ab1301940b53b7fdc2df8&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-17&checkout=2025-10-20&dest_id=-2745636&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=7f188301a37305fc&srepoch=1760553476&all_sr_blocks=2210002_400770661_0_2_0&highlighted_blocks=2210002_400770661_0_2_0&matching_block_id=2210002_400770661_0_2_0&sr_pri_blocks=2210002_400770661_0_2_0__204500&from=searchresults
Cabinn Scandinavia,"Frederiksberg, Copenhagen"," 1,846",Good,"8,925 reviews",https://www.booking.com/hotel/dk/cab-inn-scandinavia.html?label=gen173nr-10CAEoggI46AdIM1gEaD2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApKCv8cGwAIB0gIkOWE1Y2MzNWMtNmI4Mi00YzAwLTlmZmMtMDIwMGIxODNjNmQz2AIB4AIB&sid=6d20968da55ab1301940b53b7fdc2df8&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-17&checkout=2025-10-20&dest_id=-2745636&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=7f188301a37305fc&srepoch=1760553476&all_sr_blocks=2209020_0_2_0_0&highlighted_blocks=2209020_0_2_0_0&matching_block_id=2209020_0_2_0_0&sr_pri_blocks=2209020_0_2_0_0__184649&from=searchresults
Cabinn Metro,"Amager Vest, Copenhagen"," 1,564",Review score,"14,714 reviews",https://www.booking.com/hotel/dk/cabinn-metro.html?label=gen173nr-10CAEoggI46AdIM1gEaD2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApKCv8cGwAIB0gIkOWE1Y2MzNWMtNmI4Mi00YzAwLTlmZmMtMDIwMGIxODNjNmQz2AIB4AIB&sid=6d20968da55ab1301940b53b7fdc2df8&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-17&checkout=2025-10-20&dest_id=-2745636&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=7f188301a37305fc&srepoch=1760553476&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__156410&from=searchresults
Copenhagen Go Hotel,Copenhagen," 1,252",Good,"10,069 reviews",https://www.booking.com/hotel/dk/go-copenhagen.html?label=gen173nr-10CAEoggI46AdIM1gEaD2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApKCv8cGwAIB0gIkOWE1Y2MzNWMtNmI4Mi00YzAwLTlmZmMtMDIwMGIxODNjNmQz2AIB4AIB&sid=6d20968da55ab1301940b53b7fdc2df8&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-17&checkout=2025-10-20&dest_id=-2745636&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=7f188301a37305fc&srepoch=1760553476&all_sr_blocks=28430843_0_2_0_0&highlighted_blocks=28430843_0_2_0_0&matching_block_id=28430843_0_2_0_0&sr_pri_blocks=28430843_0_2_0_0__125247&from_sustainable_property_sr=1&from=searchresults
Guest rooms harbor view,"Copenhagen Center, Copenhagen"," 1,950",Very Good,225 reviews,https://www.booking.com/hotel/dk/guest-room-w-harbor-view-and-balcony.html?label=gen173nr-10CAEoggI46AdIM1gEaD2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApKCv8cGwAIB0gIkOWE1Y2MzNWMtNmI4Mi00YzAwLTlmZmMtMDIwMGIxODNjNmQz2AIB4AIB&sid=6d20968da55ab1301940b53b7fdc2df8&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-17&checkout=2025-10-20&dest_id=-2745636&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=7f188301a37305fc&srepoch=1760553476&all_sr_blocks=467262001_266525124_2_0_0&highlighted_blocks=467262001_266525124_2_0_0&matching_block_id=467262001_266525124_2_0_0&sr_pri_blocks=467262001_266525124_2_0_0__195000&from=searchresults
Dahei Apartment Hotel,"Amager Øst, Copenhagen"," 2,988",Wonderful,574 reviews,https://www.booking.com/hotel/dk/sleepcph-apartments.html?label=gen173nr-10CAEoggI46AdIM1gEaD2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApKCv8cGwAIB0gIkOWE1Y2MzNWMtNmI4Mi00YzAwLTlmZmMtMDIwMGIxODNjNmQz2AIB4AIB&sid=6d20968da55ab1301940b53b7fdc2df8&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-17&checkout=2025-10-20&dest_id=-2745636&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=7f188301a37305fc&srepoch=1760553476&all_sr_blocks=707297403_392014560_2_0_0&highlighted_blocks=707297403_392014560_2_0_0&matching_block_id=707297403_392014560_2_0_0&sr_pri_blocks=707297403_392014560_2_0_0__298800&from=searchresults
